stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:86240,,Strømsnes,,67.29983,15.185268,,,0,NSR:StopPlace:50580,2,,,700
NSR:Quay:102827,,Ringebu skysstasjon,,61.529575,10.13835,,,0,NSR:StopPlace:13425,2,,,700
NSR:Quay:1011,,Marienborg stasjon,,63.41867,10.382735,,,0,NSR:StopPlace:618,2,,7,100
NSR:Quay:1012,,Marienborg stasjon,,63.418655,10.382633,,,0,NSR:StopPlace:618,2,,9,100
NSR:Quay:1015,,Dal stasjon,,60.24898,11.202597,,,0,NSR:StopPlace:621,2,,2,100
NSR:Quay:1014,,Kråkstad,,59.68337,10.890887,,,0,NSR:StopPlace:620,2,,,700
NSR:Quay:80936,,Storlien station,,63.316273,12.100542,,,0,NSR:StopPlace:46655,2,,,700
NSR:Quay:4516,,Kambo stasjon,,59.477573,10.693442,,,0,NSR:StopPlace:2591,2,,,700
NSR:Quay:4517,,Kambo stasjon,,59.477463,10.693941,,,0,NSR:StopPlace:2591,2,,,700
NSR:Quay:1008,,Kråkstad stasjon,,59.683556,10.890791,,,0,NSR:StopPlace:617,2,,1,100
NSR:Quay:1007,,Svingen,,59.92873,11.176969,,,0,NSR:StopPlace:616,2,,,700
NSR:Quay:1009,,Kråkstad stasjon,,59.683594,10.890919,,,0,NSR:StopPlace:617,2,,2,100
NSR:Quay:56814,,Stanghelle sør,,60.551598,5.739689,,,0,NSR:StopPlace:32891,2,,,700
NSR:Quay:56815,,Stanghelle sør,,60.551174,5.73927,,,0,NSR:StopPlace:32891,2,,,700
NSR:Quay:1000,,Kristiansand stasjon,,58.145786,7.987638,,,0,NSR:StopPlace:609,2,,4,100
NSR:Quay:1002,,Svingen stasjon,,59.92907,11.177606,,,0,NSR:StopPlace:613,2,,1,100
NSR:Quay:99555,,Grong stasjon,,64.45796,12.337261,,,0,NSR:StopPlace:44550,2,,,700
NSR:Quay:81807,,Majavatn,,65.164536,13.368198,,,0,NSR:StopPlace:47275,2,,,700
NSR:Quay:5835,,Gullhella sykehjem,,59.81468,10.446438,,,0,NSR:StopPlace:3300,2,,,700
NSR:Quay:5834,,Gullhella sykehjem,,59.81446,10.445838,,,0,NSR:StopPlace:3300,2,,,700
NSR:Quay:3899,,Mysen stasjon,,59.55393,11.324461,,,0,NSR:StopPlace:2251,2,,,700
NSR:Quay:8099,,Lillestrøm bussterminal,,59.953964,11.042944,,,0,NSR:StopPlace:4489,2,,4,700
NSR:Quay:99576,,Lysaker stasjon,,59.91312,10.63836,,,0,NSR:StopPlace:4377,2,,F,700
NSR:Quay:8095,,Lillestrøm bussterminal,,59.95398,11.042842,,,0,NSR:StopPlace:4489,2,,5,700
NSR:Quay:8097,,Lillestrøm bussterminal,,59.954025,11.042528,,,0,NSR:StopPlace:4489,2,,8,700
NSR:Quay:8091,,Lillestrøm bussterminal,,59.95395,11.043046,,,0,NSR:StopPlace:4489,2,,3,700
NSR:Quay:8092,,Lillestrøm bussterminal,,59.954075,11.042217,,,0,NSR:StopPlace:4489,2,,11,700
NSR:Quay:8093,,Lillestrøm bussterminal,,59.95411,11.044709,,,0,NSR:StopPlace:4489,2,,18,700
NSR:Quay:8094,,Lillestrøm bussterminal,,59.954155,11.041697,,,0,NSR:StopPlace:4489,2,,16,700
NSR:Quay:8090,,Lillestrøm bussterminal,,59.953938,11.043143,,,0,NSR:StopPlace:4489,2,,2,700
NSR:Quay:5817,,Bondi skole,,59.822918,10.435792,,,0,NSR:StopPlace:3291,2,,,700
NSR:Quay:5816,,Bondi skole,,59.823193,10.435895,,,0,NSR:StopPlace:3291,2,,,700
NSR:Quay:11952,,Årnes stasjon,,60.123184,11.465017,,,0,NSR:StopPlace:6497,2,,,700
NSR:Quay:11953,,Årnes stasjon,,60.12321,11.46485,,,0,NSR:StopPlace:6497,2,,,700
NSR:Quay:99505,,Trondheim lufthavn,,63.45411,10.916221,,,0,NSR:StopPlace:44286,2,,A4,700
NSR:Quay:99502,,Trondheim lufthavn,,63.4541,10.917951,,,0,NSR:StopPlace:44286,2,,A7,700
NSR:Quay:77734,,Skogn stasjon,,63.705006,11.194055,,,0,NSR:StopPlace:45088,2,,,700
NSR:Quay:11946,,Årnes stasjon,,60.12335,11.465263,,,0,NSR:StopPlace:6497,2,,1,700
NSR:Quay:11947,,Årnes stasjon,,60.12315,11.465167,,,0,NSR:StopPlace:6497,2,,,700
NSR:Quay:11948,,Årnes stasjon,,60.123398,11.46496,,,0,NSR:StopPlace:6497,2,,3,700
NSR:Quay:11949,,Årnes stasjon,,60.123375,11.465102,,,0,NSR:StopPlace:6497,2,,2,700
NSR:Quay:56853,,Dale stasjon,,60.586395,5.815459,,,0,NSR:StopPlace:32913,2,,,700
NSR:Quay:481,,Nisterud stasjon,,59.30047,9.484872,,,0,NSR:StopPlace:291,2,,1,100
NSR:Quay:241,,Skøyen,Alternativ transport (NSB),59.92191,10.676976,,,0,NSR:StopPlace:153,2,,,700
NSR:Quay:242,,Hellvik,,58.48606,5.897043,,,0,NSR:StopPlace:154,2,,,700
NSR:Quay:243,,Evanger,,60.64713,6.109632,,,0,NSR:StopPlace:156,2,,,700
NSR:Quay:56789,,Vaksdal senter,,60.47672,5.742274,,,0,NSR:StopPlace:32878,2,,,700
NSR:Quay:485,,Hvalstad stasjon,,59.8589,10.461899,,,0,NSR:StopPlace:295,2,,2,100
